match_id,date,tournament,tournament_tier,hunter_player,survivor1_player,survivor2_player,survivor3_player,survivor4_player,map_name,n_escaped,hunter_wins,source_file,source_row
124,2020-07-11,IVL_2020_summer_regular,IVL,ymm,yjj,billy,tea,sxy,"军工厂",0,1,IVL_COA_2020-2024.json,29
125,2020-07-11,IVL_2020_summer_regular,IVL,ken,yjj,billy,tea,sxy,"红教堂",2,,IVL_COA_2020-2024.json,29
126,2020-07-11,IVL_2020_summer_regular,IVL,afu,iron,long,mk,ak,"红教堂",2,,IVL_COA_2020-2024.json,29
127,2020-07-12,IVL_2020_summer_regular,IVL,sese,lion,wy,487,jelly,"军工厂",3,0,IVL_COA_2020-2024.json,30
128,2020-07-12,IVL_2020_summer_regular,IVL,jiu9,blue,add,tang,huiyi,"军工厂",3,0,IVL_COA_2020-2024.json,30
129,2020-07-12,IVL_2020_summer_regular,IVL,sese,lion,wy,487,jelly,"月亮河公园",3,0,IVL_COA_2020-2024.json,30
130,2020-07-12,IVL_2020_summer_regular,IVL,jue,blue,add,tang,huiyi,"月亮河公园",3,0,IVL_COA_2020-2024.json,30
131,2020-07-12,IVL_2020_summer_regular,IVL,jue,blue,add,tang,huiyi,"红教堂",2,,IVL_COA_2020-2024.json,30
132,2020-07-12,IVL_2020_summer_regular,IVL,d,lion,wy,487,jelly,"红教堂",0,1,IVL_COA_2020-2024.json,30
133,2020-07-12,IVL_2020_summer_regular,IVL,dongx,weirdo,qingc,xiaod,jiu,"军工厂",2,,IVL_COA_2020-2024.json,31
134,2020-07-12,IVL_2020_summer_regular,IVL,xc,zyj,"xc(仙茶)",xm,9j,"军工厂",2,,IVL_COA_2020-2024.json,31
135,2020-07-12,IVL_2020_summer_regular,IVL,xc,zyj,ww,xm,9j,"月亮河公园",0,1,IVL_COA_2020-2024.json,31
136,2020-07-12,IVL_2020_summer_regular,IVL,dongx,weirdo,qingc,xiaod,jiu,"月亮河公园",0,1,IVL_COA_2020-2024.json,31
137,2020-07-12,IVL_2020_summer_regular,IVL,xc,zyj,ww,xm,22,"湖景村",3,0,IVL_COA_2020-2024.json,31
138,2020-07-12,IVL_2020_summer_regular,IVL,dongx,weirdo,qingc,xiaod,jiu,"湖景村",2,,IVL_COA_2020-2024.json,31
139,2020-07-12,IVL_2020_summer_regular,IVL,yue,maozi,f,lpz,xmm,"军工厂",3,0,IVL_COA_2020-2024.json,32
140,2020-07-12,IVL_2020_summer_regular,IVL,ppx,ruoan,fox,zibi,sans,"军工厂",0,1,IVL_COA_2020-2024.json,32
