canonical_id,known_roles,first_seen,last_seen,n_games
dorajimuchi,survivor,2021-09-11,2021-09-11,3
dorara,survivor,2022-02-25,2022-02-25,2
down,survivor,2021-02-26,2021-02-26,2
doya,survivor,2023-06-24,2023-06-24,1
doyo,survivor,2022-07-30,2022-07-30,4
dragon,survivor,2024-10-05,2025-08-08,73
dragon(hmt),survivor,2024-03-09,2024-03-09,3
dragon(sea),survivor,2023-02-25,2023-08-27,16
dream,hunter,2021-03-14,2024-04-21,13
dream(sea),survivor,2022-08-19,2022-08-19,2
dreamer,hunter,2022-06-25,2024-03-16,6
dreaming,survivor,2021-02-28,2021-02-28,2
drmark,survivor,2025-02-23,2025-02-23,3
drop,survivor,2020-11-14,2026-05-05,503
dtm,hunter,2022-06-24,2022-06-24,3
duke,hunter,2021-02-27,2021-02-27,1
dumou,survivor,2023-02-24,2023-02-24,2
dux,hunter,2026-03-08,2026-03-08,1
dwd,hunter,2021-08-08,2023-08-05,22
dweeb,hunter,2023-02-17,2023-02-17,1
dwn,survivor,2023-02-25,2023-02-26,9
dyba,survivor,2021-09-11,2021-09-12,3
dylin,survivor,2020-10-02,2020-10-18,14
dzml,survivor,2024-08-23,2024-08-25,6
e10,survivor,2020-08-14,2021-11-26,17
earth,survivor,2020-10-03,2021-08-22,18
earthx,survivor,2020-10-18,2020-10-18,1
easterr,survivor,2022-02-25,2022-02-25,2
ebey,survivor,2022-06-25,2022-06-25,1
eboy,survivor,2022-07-01,2022-07-02,4
edu,hunter,2022-02-20,2022-02-20,1
eg,survivor,2021-08-08,2021-09-04,15
egg,survivor,2024-03-09,2024-11-10,58
ego,survivor,2025-04-11,2026-03-07,23
eguite,hunter,2023-02-25,2024-03-15,6
ei3n,survivor,2025-02-22,2026-03-13,26
ejbig,survivor,2022-07-02,2022-07-02,1
elbow,survivor,2021-02-26,2026-03-01,32
ele,survivor,2022-12-03,2022-12-03,1
elect,hunter,2026-03-07,2026-03-07,3
elena,both,2021-03-20,2025-03-08,11
eleven,survivor,2022-03-20,2026-05-01,332
eley,hunter,2026-03-06,2026-03-08,6
elfman,survivor,2022-06-24,2022-07-01,5
elithun,survivor,2021-08-08,2021-09-03,5
elliotter,survivor,2022-06-24,2022-06-24,3
elysia,hunter,2023-02-17,2023-02-17,2
emmko,survivor,2024-03-02,2026-03-15,235
emu,survivor,2021-09-11,2025-07-13,100
end,hunter,2022-07-03,2025-02-22,14
envey,survivor,2024-07-14,2024-07-14,1
