player_id,role,beta,n_games,first_seen,last_seen
마이우루루루δ,hunter,0.00447168825893789,2,2021-11-14,2021-11-14
资料缺失,hunter,0.003809148166922978,2,2021-06-12,2021-06-12
surume,hunter,0.002723134784336722,26,2021-06-20,2022-08-26
zzzzz,hunter,0.002082071889005337,11,2021-08-08,2021-09-05
choco,hunter,0.001974967166707442,3,2023-02-18,2026-03-13
ame,hunter,0.0008480456104494715,1,2021-06-26,2021-06-26
crimson,hunter,0.0005683537450543269,1,2024-03-09,2024-03-09
hun,hunter,0.0003410483439318117,3,2026-02-28,2026-03-01
lingw,hunter,0.00016028279813813618,2,2026-03-01,2026-03-01
noah,hunter,-0.0001760522426925296,2,2026-02-28,2026-02-28
kiyo,hunter,-0.002170060699098128,3,2022-07-30,2022-07-31
kaloper,hunter,-0.002662382793771677,5,2026-02-28,2026-03-01
heavy,hunter,-0.003024010883444164,1,2024-07-20,2024-07-20
melon,hunter,-0.0030789178284149005,5,2020-08-09,2022-12-03
bebi,hunter,-0.007075189944492378,2,2021-06-13,2021-11-13
143,hunter,-0.007415052616805564,1,2022-06-25,2022-06-25
cynic,hunter,-0.0078041124973034955,1,2022-07-03,2022-07-03
ivory,hunter,-0.008059347058510588,23,2020-08-07,2024-05-04
littlehan,hunter,-0.008076454986975677,2,2022-07-02,2022-07-02
前世しらす,hunter,-0.008230212230614877,1,2021-11-14,2021-11-14
ujima,hunter,-0.008448591876529849,1,2022-07-30,2022-07-30
on,hunter,-0.008748119116003122,6,2026-02-28,2026-03-01
sheher,hunter,-0.009557272555439696,8,2020-08-14,2021-11-13
nyo,hunter,-0.010772882488679913,1,2023-02-17,2023-02-17
daegum,hunter,-0.011046955963079698,2,2022-02-20,2022-02-20
intel,hunter,-0.01120857468995434,4,2025-02-22,2025-03-01
kai,hunter,-0.01166303428484754,4,2025-03-02,2025-03-02
camelon,hunter,-0.012224286368439101,1,2022-12-03,2022-12-03
lasthuman,hunter,-0.012282844980127784,26,2020-10-03,2021-09-26
mine,hunter,-0.012310301295265825,1,2023-02-18,2023-02-18
chiji,hunter,-0.013624519019970265,1,2023-02-25,2023-02-25
9ma,hunter,-0.013899232570286779,1,2022-12-03,2022-12-03
yopi,hunter,-0.013899232570286779,1,2022-12-03,2022-12-03
kurowa,hunter,-0.013983292277496133,2,2023-02-18,2023-02-18
