tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
15.0,0.3,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.048093158959104,1.1384964393796808,0.15250641572365375
15.0,0.5,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1291544978631993,1.1537480507648972,0.04217806831132054
15.0,0.5,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0678852688221572,1.09055673129318,0.041145599440413516
15.0,0.5,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1380454799285828,1.154605324976626,0.028479152989118517
15.0,0.5,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1253663391190283,1.1625760678151191,0.06298814729682767
15.0,0.5,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.048062193517511,1.1384964393796808,0.15255649261842408
15.0,0.8,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1333582454752662,1.1537480507648972,0.035033011158796534
15.0,0.8,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0693900951449258,1.09055673129318,0.03844132767575403
15.0,0.8,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1375574539429674,1.154605324976626,0.029312205389337653
15.0,0.8,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1252275393687898,1.1625760678151191,0.06321927024081242
15.0,0.8,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0480170831681255,1.1384964393796808,0.1526294418197791
15.0,1.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1360573985572937,1.1537480507648972,0.030431297408217817
15.0,1.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.070629782675843,1.09055673129318,0.03621066698079589
15.0,1.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.137331228512517,1.154605324976626,0.029698247304164593
15.0,1.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1251490352344187,1.1625760678151191,0.06334997908382745
15.0,1.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.047987842336909,1.1384964393796808,0.15267672630436124
20.0,0.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1537480507648972,1.1537480507648972,0.0
20.0,0.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.09055673129318,1.09055673129318,0.0
20.0,0.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1429710735787872,1.154605324976626,0.020051242673244207
20.0,0.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1167603249981475,1.1625760678151191,0.07726457139541654
20.0,0.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0450583485132012,1.1384964393796808,0.1574072371885682
20.0,0.05,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1299833528993923,1.1537480507648972,0.04077137522799579
20.0,0.05,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.073792795759159,1.09055673129318,0.03050751645701877
20.0,0.05,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.141781767390662,1.154605324976626,0.022089531821797292
20.0,0.05,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1167390135907982,1.1625760678151191,0.07729978862604414
20.0,0.05,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0450501753025816,1.1384964393796808,0.1574204166654788
20.0,0.1,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.126569523972187,1.1537480507648972,0.04655853280878797
20.0,0.1,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0704953002392303,1.09055673129318,0.03645277606391095
20.0,0.1,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1410498135485445,1.154605324976626,0.023342934027343554
20.0,0.1,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.116717920670758,1.1625760678151191,0.07733464414329538
20.0,0.1,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.045042055999306,1.1384964393796808,0.1574335091135871
20.0,0.15,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.125714656972186,1.1537480507648972,0.04800497066116871
20.0,0.15,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0690134028223885,1.09055673129318,0.039118625841666144
20.0,0.15,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1405534121662648,1.154605324976626,0.024192517376432465
20.0,0.15,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1166971384174786,1.1625760678151191,0.07736898564769412
20.0,0.15,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0450339897182377,1.1384964393796808,0.15744651596219383
20.0,0.2,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1256946167515798,1.1537480507648972,0.04803886561042392
20.0,0.2,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0682415453019378,1.09055673129318,0.040505691264917765
20.0,0.2,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.140197918796468,1.154605324976626,0.024800711654557217
20.0,0.2,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1166767376574727,1.1625760678151191,0.07740269613430495
20.0,0.2,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0450259755994669,1.1384964393796808,0.15745943859986355
20.0,0.3,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1265345021279984,1.1537480507648972,0.046617811457422165
20.0,0.3,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0676387279586415,1.09055673129318,0.04158828651652058
20.0,0.3,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1397283557101217,1.154605324976626,0.02560377099876232
20.0,0.3,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1166372839571006,1.1625760678151191,0.07746788820526829
20.0,0.3,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0450101005294696,1.1384964393796808,0.1574850366024142
20.0,0.5,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1291544978631993,1.1537480507648972,0.04217806831132054
20.0,0.5,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0678852688221572,1.09055673129318,0.041145599440413516
20.0,0.5,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1392217629363937,1.154605324976626,0.02646978855802906
20.0,0.5,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.11656458984585,1.1625760678151191,0.07758799966851682
20.0,0.5,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0449789410808303,1.1384964393796808,0.15753527900740005
20.0,0.8,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1333582454752662,1.1537480507648972,0.035033011158796534
20.0,0.8,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0693900951449258,1.09055673129318,0.03844132767575403
20.0,0.8,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1388018837144243,1.154605324976626,0.027187277974811574
20.0,0.8,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1164722292188303,1.1625760678151191,0.07774059456165638
20.0,0.8,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0449335923206147,1.1384964393796808,0.15760839799600113
20.0,1.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1360573985572937,1.1537480507648972,0.030431297408217817
20.0,1.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.070629782675843,1.09055673129318,0.03621066698079589
20.0,1.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.138594354593472,1.154605324976626,0.027541805968737454
20.0,1.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1164215156677755,1.1625760678151191,0.07782437629124717
20.0,1.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0449042262812758,1.1384964393796808,0.15765574522935633
30.0,0.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1537480507648972,1.1537480507648972,0.0
30.0,0.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.09055673129318,1.09055673129318,0.0
30.0,0.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1445141101563168,1.154605324976626,0.01740355106684377
30.0,0.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1074799922030507,1.1625760678151191,0.09253680301357492
30.0,0.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0419413192522875,1.1384964393796808,0.16242603737809713
