half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start,tier
401.7422775109552,1,199,196,1.2068360252767767,1.1909522857523618,87,COA
401.7422775109552,2,395,196,1.1328129421850157,1.1473127431577865,5,COA
401.7422775109552,3,591,196,1.3165988006904026,1.3151394742515692,184,COA
401.7422775109552,4,787,196,1.064686688473422,1.178030178747903,110,COA
401.7422775109552,5,983,196,1.022066411623778,1.1823532398033463,2,COA
498.7118957038203,1,199,196,1.2081221502473298,1.1909522857523618,87,COA
498.7118957038203,2,395,196,1.1328242861753588,1.1473127431577865,5,COA
498.7118957038203,3,591,196,1.3153250658440376,1.3151394742515692,184,COA
498.7118957038203,4,787,196,1.0649363910444418,1.178030178747903,110,COA
498.7118957038203,5,983,196,1.024053002679585,1.1823532398033463,2,COA
619.0873324496347,1,199,196,1.2091757297419743,1.1909522857523618,87,COA
619.0873324496347,2,395,196,1.1330284433911075,1.1473127431577865,5,COA
619.0873324496347,3,591,196,1.3142241992706274,1.3151394742515692,184,COA
619.0873324496347,4,787,196,1.0654767619970127,1.178030178747903,110,COA
619.0873324496347,5,983,196,1.0262198562841582,1.1823532398033463,2,COA
768.5181133662479,1,199,196,1.2100318711714007,1.1909522857523618,87,COA
768.5181133662479,2,395,196,1.1333232605386498,1.1473127431577865,5,COA
768.5181133662479,3,591,196,1.3132941219425767,1.3151394742515692,184,COA
768.5181133662479,4,787,196,1.066120179224655,1.178030178747903,110,COA
768.5181133662479,5,983,196,1.0282946770654258,1.1823532398033463,2,COA
954.0174053231276,1,199,196,1.2107242358477097,1.1909522857523618,87,COA
954.0174053231276,2,395,196,1.1336457970361233,1.1473127431577865,5,COA
954.0174053231276,3,591,196,1.3125215233394074,1.3151394742515692,184,COA
954.0174053231276,4,787,196,1.066759900149835,1.178030178747903,110,COA
954.0174053231276,5,983,196,1.030137614449868,1.1823532398033463,2,COA
1184.2911622119798,1,199,196,1.2112826063319713,1.1909522857523618,87,COA
1184.2911622119798,2,395,196,1.1339603892592227,1.1473127431577865,5,COA
1184.2911622119798,3,591,196,1.3118873318221114,1.3151394742515692,184,COA
1184.2911622119798,4,787,196,1.0673430329248392,1.178030178747903,110,COA
1184.2911622119798,5,983,196,1.0317007474666355,1.1823532398033463,2,COA
1470.1467175206903,1,199,196,1.2117322344140622,1.1909522857523618,87,COA
1470.1467175206903,2,395,196,1.1342488764862815,1.1473127431577865,5,COA
1470.1467175206903,3,591,196,1.3113709085058787,1.3151394742515692,184,COA
1470.1467175206903,4,787,196,1.0678490106253795,1.178030178747903,110,COA
1470.1467175206903,5,983,196,1.032989105116076,1.1823532398033463,2,COA
1824.9999999999995,1,199,196,1.2120940241913207,1.1909522857523618,87,COA
1824.9999999999995,2,395,196,1.1345036766955905,1.1473127431577865,5,COA
1824.9999999999995,3,591,196,1.3109525651058351,1.3151394742515692,184,COA
1824.9999999999995,4,787,196,1.0682750387108353,1.178030178747903,110,COA
1824.9999999999995,5,983,196,1.03403269685249,1.1823532398033463,2,COA
