half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start,era
401.7422775109552,3,2716,904,1.1325300132878082,1.21840603836992,484,late (2023+)
401.7422775109552,4,3620,904,1.0517590096700682,1.105096800308958,107,late (2023+)
401.7422775109552,5,4524,904,1.026377045010265,1.1545408618883575,218,late (2023+)
498.7118957038203,1,908,904,1.1641118923840634,1.1645577230285695,411,late (2023+)
498.7118957038203,2,1812,904,1.0758714778489291,1.111584215894841,202,late (2023+)
498.7118957038203,3,2716,904,1.132909563427386,1.21840603836992,484,late (2023+)
498.7118957038203,4,3620,904,1.0529146657609745,1.105096800308958,107,late (2023+)
498.7118957038203,5,4524,904,1.0265220788113256,1.1545408618883575,218,late (2023+)
619.0873324496347,1,908,904,1.165178497079398,1.1645577230285695,411,late (2023+)
619.0873324496347,2,1812,904,1.0765820166293012,1.111584215894841,202,late (2023+)
619.0873324496347,3,2716,904,1.1332422034262901,1.21840603836992,484,late (2023+)
619.0873324496347,4,3620,904,1.0539623618442036,1.105096800308958,107,late (2023+)
619.0873324496347,5,4524,904,1.026775131958228,1.1545408618883575,218,late (2023+)
768.5181133662479,1,908,904,1.1660540575398053,1.1645577230285695,411,late (2023+)
768.5181133662479,2,1812,904,1.0771652272610226,1.111584215894841,202,late (2023+)
768.5181133662479,3,2716,904,1.1335293911631645,1.21840603836992,484,late (2023+)
768.5181133662479,4,3620,904,1.054884404469365,1.105096800308958,107,late (2023+)
768.5181133662479,5,4524,904,1.0270785425071016,1.1545408618883575,218,late (2023+)
954.0174053231276,1,908,904,1.16677002714713,1.1645577230285695,411,late (2023+)
954.0174053231276,2,1812,904,1.07764213397496,1.111584215894841,202,late (2023+)
954.0174053231276,3,2716,904,1.133774233304761,1.21840603836992,484,late (2023+)
954.0174053231276,4,3620,904,1.0556780732718734,1.105096800308958,107,late (2023+)
954.0174053231276,5,4524,904,1.0273927222706283,1.1545408618883575,218,late (2023+)
1184.2911622119798,1,908,904,1.1673537184924474,1.1645577230285695,411,late (2023+)
1184.2911622119798,2,1812,904,1.078030991691311,1.111584215894841,202,late (2023+)
1184.2911622119798,3,2716,904,1.1339808253274664,1.21840603836992,484,late (2023+)
1184.2911622119798,4,3620,904,1.0563502008864978,1.105096800308958,107,late (2023+)
1184.2911622119798,5,4524,904,1.0276933263022765,1.1545408618883575,218,late (2023+)
1470.1467175206903,1,908,904,1.1678284272971078,1.1645577230285695,411,late (2023+)
1470.1467175206903,2,1812,904,1.0783473351360033,1.111584215894841,202,late (2023+)
1470.1467175206903,3,2716,904,1.1341536731189872,1.21840603836992,484,late (2023+)
1470.1467175206903,4,3620,904,1.0569126357187184,1.105096800308958,107,late (2023+)
1470.1467175206903,5,4524,904,1.0279672359288368,1.1545408618883575,218,late (2023+)
1824.9999999999995,1,908,904,1.1682137653317684,1.1645577230285695,411,late (2023+)
1824.9999999999995,2,1812,904,1.0786042153561102,1.111584215894841,202,late (2023+)
1824.9999999999995,3,2716,904,1.1342972880997795,1.21840603836992,484,late (2023+)
1824.9999999999995,4,3620,904,1.0573791426686585,1.105096800308958,107,late (2023+)
1824.9999999999995,5,4524,904,1.0282088517383303,1.1545408618883575,218,late (2023+)
